id,latitude,longitude,SiteName,StartLat,StartLong,EndLat,EndLong
RWS01_MONICA_00D005008454D007000B,52.31329,4.73268,00D005008454D007000B,,,,
RWS01_MONICA_00D00501444668200005,52.35583,4.73882,00D00501444668200005,,,,
RWS01_MONICA_00D00501444668200009,52.35583,4.73882,00D00501444668200009,,,,
RWS01_MONICA_00D005014446D0050005,52.35589,4.73918,00D005014446D0050005,,,,
RWS01_MONICA_00D005014446D0050009,52.35589,4.73918,00D005014446D0050009,,,,
RWS01_MONICA_00D005014446D0070007,52.35586,4.73933,00D005014446D0070007,,,,
RWS01_MONICA_00D005014446D007000B,52.35586,4.73933,00D005014446D007000B,,,,
RWS01_MONICA_00D005014C0030200007,52.35575,4.74296,00D005014C0030200007,,,,
RWS01_MONIBAS_0281hrl0021ra0,52.09281,5.17802,0281hrl0021ra0,52.09281,5.17802,52.09284,5.17255
RWS01_MONIBAS_0281hrl0021ra1,52.09281,5.17802,0281hrl0021ra1,52.09281,5.17802,52.09284,5.17255
RWS01_MONIBAS_0281hrl0027ra,52.09247,5.18668,0281hrl0027ra,,,,
RWS01_MONIBAS_0281hrl0027ra0,52.09247,5.18668,0281hrl0027ra0,52.09247,5.18668,52.09281,5.17802
RWS01_MONIBAS_0281hrl0032ra,52.09257,5.19465,0281hrl0032ra,,,,
RWS01_MONIBAS_0281hrl0032ra0,52.09257,5.19465,0281hrl0032ra0,52.09257,5.19465,52.09247,5.18668
RWS01_MONIBAS_0281hrl0037ra,52.09341,5.20166,0281hrl0037ra,,,,
RWS01_MONIBAS_0281hrl0037ra0,52.09341,5.20166,0281hrl0037ra0,52.09341,5.20166,52.09257,5.19465
RWS01_MONIBAS_0281hrl0043ra,52.09672,5.20797,0281hrl0043ra,,,,
RWS01_MONIBAS_0281hrl0043ra0,52.09672,5.20797,0281hrl0043ra0,52.09672,5.20797,52.09341,5.20166
RWS01_MONIBAS_0281hrl0043rb,52.09672,5.20797,0281hrl0043rb,,,,
RWS01_MONIBAS_0131hrr0142ra,51.97037,4.40028,0131hrr0142ra,,,,
RWS01_MONIBAS_0131hrr0142ra0,51.97037,4.40028,0131hrr0142ra0,51.97037,4.40028,51.96633,4.40344
